checkin,checkout,nights,adults,rank,property,type,stars,score,reviews,distance_km,room,total_eur,taxes_included,free_cancellation,breakfast,url,source,fetched_at
2026-10-09,2026-10-11,2,1,7,"Nènè House Roma-Farfalla, appartamento in comune",guesthouse,,6.5,4,0.9,Camera Matrimoniale con Bagno Privato,176.36,no: city tax € 10 per stay paid on site; VAT included,yes,no,https://www.booking.com/hotel/it/nene-house-roma-farfalla.it.html?checkin=2026-10-09&checkout=2026-10-11&group_adults=1&no_rooms=1&group_children=0&selected_currency=EUR,booking.com,2026-09-07T12:50:55.338Z
2026-10-09,2026-10-11,2,1,8,"LUXOR ECO ROMA CASA E APPARTAMENTO PER VACANZE IN CENTRO Piazza Bologna, Colosseo, Piazza di Spagna, Vaticano, San Pietro, Sapienza, Fontana di Trevi, Piazza Navona, Trastevere, Tiburtina, Termini, Aeroporto",B&B,4T,9,357,0.8,Camera Matrimoniale,181.73,no: city tax € 12 per stay paid on site; VAT included,yes,no,https://www.booking.com/hotel/it/fashion-lux.it.html?checkin=2026-10-09&checkout=2026-10-11&group_adults=1&no_rooms=1&group_children=0&selected_currency=EUR,booking.com,2026-09-07T12:50:55.338Z
2026-10-10,2026-10-12,2,1,1,Mikasa Piazza Bologna,guesthouse,,4.2,140,0.8,Camera Matrimoniale con Bagno Privato Esterno ,125.45,no: city tax € 14 per stay paid on site; VAT included,no,yes,https://www.booking.com/hotel/it/b-amp-b-l-39-arca-di-campaldino.it.html?checkin=2026-10-10&checkout=2026-10-12&group_adults=1&no_rooms=1&group_children=0&selected_currency=EUR,booking.com,2026-09-07T12:51:16.758Z
2026-10-10,2026-10-12,2,1,2,Affittacamere Tiburstation,guesthouse,3T,7.8,179,0.9,Camera Singola,135.08,no: city tax € 14 per stay paid on site; VAT included,no,no,https://www.booking.com/hotel/it/tibur-station.it.html?checkin=2026-10-10&checkout=2026-10-12&group_adults=1&no_rooms=1&group_children=0&selected_currency=EUR,booking.com,2026-09-07T12:51:16.758Z
2026-10-10,2026-10-12,2,1,3,Gmm,guesthouse,3T,7.9,207,1.3,Camera Singola Ampia,136.36,no: city tax € 14 per stay paid on site; VAT included,yes,yes,https://www.booking.com/hotel/it/gmm.it.html?checkin=2026-10-10&checkout=2026-10-12&group_adults=1&no_rooms=1&group_children=0&selected_currency=EUR,booking.com,2026-09-07T12:51:22.797Z
2026-10-10,2026-10-12,2,1,4,Romulea Guest House,guesthouse,,6.2,675,0.4,Camera Matrimoniale con Bagno in Comune ,149.37,no: city tax € 10 per stay paid on site; VAT included,no,no,https://www.booking.com/hotel/it/romulea-guest-house.it.html?checkin=2026-10-10&checkout=2026-10-12&group_adults=1&no_rooms=1&group_children=0&selected_currency=EUR,booking.com,2026-09-07T12:51:16.758Z
2026-10-10,2026-10-12,2,1,5,"Tiburtina Suites, Roma",guesthouse,3T,7.6,93,0.6,Camera Matrimoniale con Balcone,158.91,no: city tax € 12 per stay paid on site; VAT included,no,no,https://www.booking.com/hotel/it/tiburtina-suites.it.html?checkin=2026-10-10&checkout=2026-10-12&group_adults=1&no_rooms=1&group_children=0&selected_currency=EUR,booking.com,2026-09-07T12:51:16.758Z
2026-10-10,2026-10-12,2,1,6,La Dolce Casa,B&B,,9.6,184,1.5,Camera Singola con Bagno Privato,163.64,no: city tax € 12 per stay paid on site; VAT included,yes,yes,https://www.booking.com/hotel/it/la-dolce-casa-roma.it.html?checkin=2026-10-10&checkout=2026-10-12&group_adults=1&no_rooms=1&group_children=0&selected_currency=EUR,booking.com,2026-09-07T12:51:30.324Z
2026-10-10,2026-10-12,2,1,7,Elion,B&B,4T,8.9,152,0.9,Camera Singola con Bagno Privato Esterno,169.36,no: city tax € 12 per stay paid on site; VAT included,no,no,https://www.booking.com/hotel/it/elion-roma.it.html?checkin=2026-10-10&checkout=2026-10-12&group_adults=1&no_rooms=1&group_children=0&selected_currency=EUR,booking.com,2026-09-07T12:51:16.758Z
2026-10-10,2026-10-12,2,1,8,Tiburtina Urban Rooms,guesthouse,4T,9,55,0.5,Camera Matrimoniale con Bagno Privato,176.97,no: city tax € 12 per stay paid on site; VAT included,no,no,https://www.booking.com/hotel/it/urban-tiburtina-room.it.html?checkin=2026-10-10&checkout=2026-10-12&group_adults=1&no_rooms=1&group_children=0&selected_currency=EUR,booking.com,2026-09-07T12:51:16.758Z
