property,checkin,checkout,nights,distance_km,one_adult_total_eur,one_adult_room,one_adult_fetched_at,two_adults_total_eur,two_adults_room,two_adults_note,two_adults_fetched_at,two_adults_url
21 Aprile Accommodation,2026-11-30,2026-12-02,2,1.4,89.09,Camera Matrimoniale,2026-09-07T13:16:36.431Z,89.34,Camera Matrimoniale,+0.25 vs 1 adult; city tax excluded € 24; free cancellation yes; breakfast no,2026-09-07T13:22:37.248Z,https://www.booking.com/hotel/it/21-aprile-accommodation.it.html?checkin=2026-11-30&checkout=2026-12-02&group_adults=2&no_rooms=1&group_children=0&selected_currency=EUR
"BEDS&ROOMS TIBURTINA- Rooms, Camere private",2026-11-10,2026-11-12,2,0.2,93.19,Camera Singola con Bagno Privato,2026-09-07T13:05:21.231Z,133.27,Camera Matrimoniale con Bagno Privato,+40.08 vs 1 adult; city tax included € 24; free cancellation no; breakfast no,2026-09-07T13:22:59.674Z,https://www.booking.com/hotel/it/beds-amp-rooms-tiburtina-rooms.it.html?checkin=2026-11-10&checkout=2026-11-12&group_adults=2&no_rooms=1&group_children=0&selected_currency=EUR
"BEDS&ROOMS TIBURTINA- Rooms, Camere private",2026-11-12,2026-11-14,2,0.2,93.19,Camera Singola con Bagno Privato,2026-09-07T13:06:42.688Z,133.27,Camera Matrimoniale con Bagno Privato,+40.08 vs 1 adult; city tax included € 24; free cancellation no; breakfast no,2026-09-07T13:23:40.468Z,https://www.booking.com/hotel/it/beds-amp-rooms-tiburtina-rooms.it.html?checkin=2026-11-12&checkout=2026-11-14&group_adults=2&no_rooms=1&group_children=0&selected_currency=EUR
"BEDS&ROOMS TIBURTINA- Rooms, Camere private",2026-11-13,2026-11-15,2,0.2,93.19,Camera Singola con Bagno Privato,2026-09-07T13:07:19.356Z,133.27,Camera Matrimoniale con Bagno Privato,+40.08 vs 1 adult; city tax included € 24; free cancellation no; breakfast no,2026-09-07T13:24:11.831Z,https://www.booking.com/hotel/it/beds-amp-rooms-tiburtina-rooms.it.html?checkin=2026-11-13&checkout=2026-11-15&group_adults=2&no_rooms=1&group_children=0&selected_currency=EUR
"BEDS&ROOMS TIBURTINA- Rooms, Camere private",2026-11-14,2026-11-16,2,0.2,93.19,Camera Singola con Bagno Privato,2026-09-07T13:07:46.552Z,133.27,Camera Matrimoniale con Bagno Privato,+40.08 vs 1 adult; city tax included € 24; free cancellation no; breakfast no,2026-09-07T13:24:44.239Z,https://www.booking.com/hotel/it/beds-amp-rooms-tiburtina-rooms.it.html?checkin=2026-11-14&checkout=2026-11-16&group_adults=2&no_rooms=1&group_children=0&selected_currency=EUR
"BEDS&ROOMS TIBURTINA- Rooms, Camere private",2026-11-21,2026-11-23,2,0.2,93.19,Camera Singola con Bagno Privato,2026-09-07T13:11:21.317Z,133.27,Camera Matrimoniale con Bagno Privato,+40.08 vs 1 adult; city tax included € 24; free cancellation no; breakfast no,2026-09-07T13:25:15.823Z,https://www.booking.com/hotel/it/beds-amp-rooms-tiburtina-rooms.it.html?checkin=2026-11-21&checkout=2026-11-23&group_adults=2&no_rooms=1&group_children=0&selected_currency=EUR
"BEDS&ROOMS TIBURTINA- Rooms, Camere private",2026-11-22,2026-11-24,2,0.2,93.19,Camera Singola con Bagno Privato,2026-09-07T13:11:48.318Z,133.27,Camera Matrimoniale con Bagno Privato,+40.08 vs 1 adult; city tax included € 24; free cancellation no; breakfast no,2026-09-07T13:25:47.195Z,https://www.booking.com/hotel/it/beds-amp-rooms-tiburtina-rooms.it.html?checkin=2026-11-22&checkout=2026-11-24&group_adults=2&no_rooms=1&group_children=0&selected_currency=EUR
"BEDS&ROOMS TIBURTINA- Rooms, Camere private",2026-11-23,2026-11-25,2,0.2,93.19,Camera Singola con Bagno Privato,2026-09-07T13:12:18.019Z,133.27,Camera Matrimoniale con Bagno Privato,+40.08 vs 1 adult; city tax included € 24; free cancellation no; breakfast no,2026-09-07T13:26:16.848Z,https://www.booking.com/hotel/it/beds-amp-rooms-tiburtina-rooms.it.html?checkin=2026-11-23&checkout=2026-11-25&group_adults=2&no_rooms=1&group_children=0&selected_currency=EUR
"BEDS&ROOMS TIBURTINA- Rooms, Camere private",2026-11-24,2026-11-26,2,0.2,93.19,Camera Singola con Bagno Privato,2026-09-07T13:12:59.016Z,133.27,Camera Matrimoniale con Bagno Privato,+40.08 vs 1 adult; city tax included € 24; free cancellation no; breakfast no,2026-09-07T13:26:46.978Z,https://www.booking.com/hotel/it/beds-amp-rooms-tiburtina-rooms.it.html?checkin=2026-11-24&checkout=2026-11-26&group_adults=2&no_rooms=1&group_children=0&selected_currency=EUR
"BEDS&ROOMS TIBURTINA- Rooms, Camere private",2026-11-25,2026-11-27,2,0.2,93.19,Camera Singola con Bagno Privato,2026-09-07T13:13:38.354Z,133.27,Camera Matrimoniale con Bagno Privato,+40.08 vs 1 adult; city tax included € 24; free cancellation no; breakfast no,2026-09-07T13:27:17.620Z,https://www.booking.com/hotel/it/beds-amp-rooms-tiburtina-rooms.it.html?checkin=2026-11-25&checkout=2026-11-27&group_adults=2&no_rooms=1&group_children=0&selected_currency=EUR
